,balance_of_Token_A,balance_of_Token_B,weight_of_token_A,weight_of_token_B,swap_fee,amount_token_B,price_of_token_B,simulation,subset,run,substep,timestep,par_weight_token_B_inverse
0,100,100,0.5,0.5,0,1,1,0,0,1,0,0,0.5
1,99.00990099,100,0.5,0.5,0,1,1,0,0,1,1,1,0.5
2,98.01980198,100,0.5,0.5,0,1,1,0,0,1,1,2,0.5
3,97.02970297,100,0.5,0.5,0,1,1,0,0,1,1,3,0.5
4,96.03960396,100,0.5,0.5,0,1,1,0,0,1,1,4,0.5
5,95.04950495,100,0.5,0.5,0,1,1,0,0,1,1,5,0.5
6,94.05940594,100,0.5,0.5,0,1,1,0,0,1,1,6,0.5
7,93.06930693,100,0.5,0.5,0,1,1,0,0,1,1,7,0.5
8,92.07920792,100,0.5,0.5,0,1,1,0,0,1,1,8,0.5
9,91.08910891,100,0.5,0.5,0,1,1,0,0,1,1,9,0.5
10,90.0990099,100,0.5,0.5,0,1,1,0,0,1,1,10,0.5
11,89.10891089,100,0.5,0.5,0,1,1,0,0,1,1,11,0.5
12,88.11881188,100,0.5,0.5,0,1,1,0,0,1,1,12,0.5
13,87.12871287,100,0.5,0.5,0,1,1,0,0,1,1,13,0.5
14,86.13861386,100,0.5,0.5,0,1,1,0,0,1,1,14,0.5
15,85.14851485,100,0.5,0.5,0,1,1,0,0,1,1,15,0.5
16,84.15841584,100,0.5,0.5,0,1,1,0,0,1,1,16,0.5
17,83.16831683,100,0.5,0.5,0,1,1,0,0,1,1,17,0.5
18,82.17821782,100,0.5,0.5,0,1,1,0,0,1,1,18,0.5
19,81.18811881,100,0.5,0.5,0,1,1,0,0,1,1,19,0.5
20,80.1980198,100,0.5,0.5,0,1,1,0,0,1,1,20,0.5
21,79.20792079,100,0.5,0.5,0,1,1,0,0,1,1,21,0.5
22,78.21782178,100,0.5,0.5,0,1,1,0,0,1,1,22,0.5
23,77.22772277,100,0.5,0.5,0,1,1,0,0,1,1,23,0.5
24,76.23762376,100,0.5,0.5,0,1,1,0,0,1,1,24,0.5
25,75.24752475,100,0.5,0.5,0,1,1,0,0,1,1,25,0.5
26,74.25742574,100,0.5,0.5,0,1,1,0,0,1,1,26,0.5
27,73.26732673,100,0.5,0.5,0,1,1,0,0,1,1,27,0.5
28,72.27722772,100,0.5,0.5,0,1,1,0,0,1,1,28,0.5
29,71.28712871,100,0.5,0.5,0,1,1,0,0,1,1,29,0.5
30,70.2970297,100,0.5,0.5,0,1,1,0,0,1,1,30,0.5
31,69.30693069,100,0.5,0.5,0,1,1,0,0,1,1,31,0.5
32,68.31683168,100,0.5,0.5,0,1,1,0,0,1,1,32,0.5
33,67.32673267,100,0.5,0.5,0,1,1,0,0,1,1,33,0.5
34,66.33663366,100,0.5,0.5,0,1,1,0,0,1,1,34,0.5
35,65.34653465,100,0.5,0.5,0,1,1,0,0,1,1,35,0.5
36,64.35643564,100,0.5,0.5,0,1,1,0,0,1,1,36,0.5
37,63.36633663,100,0.5,0.5,0,1,1,0,0,1,1,37,0.5
38,62.37623762,100,0.5,0.5,0,1,1,0,0,1,1,38,0.5
39,61.38613861,100,0.5,0.5,0,1,1,0,0,1,1,39,0.5
40,60.3960396,100,0.5,0.5,0,1,1,0,0,1,1,40,0.5
41,59.40594059,100,0.5,0.5,0,1,1,0,0,1,1,41,0.5
42,58.41584158,100,0.5,0.5,0,1,1,0,0,1,1,42,0.5
43,57.42574257,100,0.5,0.5,0,1,1,0,0,1,1,43,0.5
44,56.43564356,100,0.5,0.5,0,1,1,0,0,1,1,44,0.5
45,55.44554455,100,0.5,0.5,0,1,1,0,0,1,1,45,0.5
46,54.45544554,100,0.5,0.5,0,1,1,0,0,1,1,46,0.5
47,53.46534653,100,0.5,0.5,0,1,1,0,0,1,1,47,0.5
