,balance_of_Token_A,balance_of_Token_B,weight_of_token_A,weight_of_token_B,swap_fee,amount_token_B,price_of_token_B,simulation,subset,run,substep,timestep,par_profile_actors
0,100,100,0.5,0.5,0,1,1,0,0,1,0,0,1
1,99.00990099,100,0.5,0.5,0,1,1,0,0,1,1,1,1
2,98.01980198,100,0.5,0.5,0,1,1,0,0,1,1,2,1
3,97.02970297,100,0.5,0.5,0,1,1,0,0,1,1,3,1
4,96.03960396,100,0.5,0.5,0,1,1,0,0,1,1,4,1
5,95.04950495,100,0.5,0.5,0,1,1,0,0,1,1,5,1
6,94.05940594,100,0.5,0.5,0,1,1,0,0,1,1,6,1
7,93.06930693,100,0.5,0.5,0,1,1,0,0,1,1,7,1
8,92.07920792,100,0.5,0.5,0,1,1,0,0,1,1,8,1
9,91.08910891,100,0.5,0.5,0,1,1,0,0,1,1,9,1
10,90.0990099,100,0.5,0.5,0,1,1,0,0,1,1,10,1
11,89.10891089,100,0.5,0.5,0,1,1,0,0,1,1,11,1
12,88.11881188,100,0.5,0.5,0,1,1,0,0,1,1,12,1
13,87.12871287,100,0.5,0.5,0,1,1,0,0,1,1,13,1
14,86.13861386,100,0.5,0.5,0,1,1,0,0,1,1,14,1
15,85.14851485,100,0.5,0.5,0,1,1,0,0,1,1,15,1
16,84.15841584,100,0.5,0.5,0,1,1,0,0,1,1,16,1
17,83.16831683,100,0.5,0.5,0,1,1,0,0,1,1,17,1
18,82.17821782,100,0.5,0.5,0,1,1,0,0,1,1,18,1
19,81.18811881,100,0.5,0.5,0,1,1,0,0,1,1,19,1
20,80.1980198,100,0.5,0.5,0,1,1,0,0,1,1,20,1
21,79.20792079,100,0.5,0.5,0,1,1,0,0,1,1,21,1
22,78.21782178,100,0.5,0.5,0,1,1,0,0,1,1,22,1
23,77.22772277,100,0.5,0.5,0,1,1,0,0,1,1,23,1
24,76.23762376,100,0.5,0.5,0,1,1,0,0,1,1,24,1
25,75.24752475,100,0.5,0.5,0,1,1,0,0,1,1,25,1
26,74.25742574,100,0.5,0.5,0,1,1,0,0,1,1,26,1
27,73.26732673,100,0.5,0.5,0,1,1,0,0,1,1,27,1
28,72.27722772,100,0.5,0.5,0,1,1,0,0,1,1,28,1
29,71.28712871,100,0.5,0.5,0,1,1,0,0,1,1,29,1
30,70.2970297,100,0.5,0.5,0,1,1,0,0,1,1,30,1
31,69.30693069,100,0.5,0.5,0,1,1,0,0,1,1,31,1
32,68.31683168,100,0.5,0.5,0,1,1,0,0,1,1,32,1
33,67.32673267,100,0.5,0.5,0,1,1,0,0,1,1,33,1
34,66.33663366,100,0.5,0.5,0,1,1,0,0,1,1,34,1
35,65.34653465,100,0.5,0.5,0,1,1,0,0,1,1,35,1
36,64.35643564,100,0.5,0.5,0,1,1,0,0,1,1,36,1
37,63.36633663,100,0.5,0.5,0,1,1,0,0,1,1,37,1
38,62.37623762,100,0.5,0.5,0,1,1,0,0,1,1,38,1
39,61.38613861,100,0.5,0.5,0,1,1,0,0,1,1,39,1
40,60.3960396,100,0.5,0.5,0,1,1,0,0,1,1,40,1
41,59.40594059,100,0.5,0.5,0,1,1,0,0,1,1,41,1
42,58.41584158,100,0.5,0.5,0,1,1,0,0,1,1,42,1
43,57.42574257,100,0.5,0.5,0,1,1,0,0,1,1,43,1
44,56.43564356,100,0.5,0.5,0,1,1,0,0,1,1,44,1
45,55.44554455,100,0.5,0.5,0,1,1,0,0,1,1,45,1
46,54.45544554,100,0.5,0.5,0,1,1,0,0,1,1,46,1
47,53.46534653,100,0.5,0.5,0,1,1,0,0,1,1,47,1
48,52.47524752,100,0.5,0.5,0,1,1,0,0,1,1,48,1
49,51.48514851,100,0.5,0.5,0,1,1,0,0,1,1,49,1
50,50.4950495,100,0.5,0.5,0,1,1,0,0,1,1,50,1
51,49.5049505,100,0.5,0.5,0,1,1,0,0,1,1,51,1
52,48.51485149,100,0.5,0.5,0,1,1,0,0,1,1,52,1
53,47.52475248,100,0.5,0.5,0,1,1,0,0,1,1,53,1
54,46.53465347,100,0.5,0.5,0,1,1,0,0,1,1,54,1
55,45.54455446,100,0.5,0.5,0,1,1,0,0,1,1,55,1
56,44.55445545,100,0.5,0.5,0,1,1,0,0,1,1,56,1
57,43.56435644,100,0.5,0.5,0,1,1,0,0,1,1,57,1
58,42.57425743,100,0.5,0.5,0,1,1,0,0,1,1,58,1
59,41.58415842,100,0.5,0.5,0,1,1,0,0,1,1,59,1
60,40.59405941,100,0.5,0.5,0,1,1,0,0,1,1,60,1
61,39.6039604,100,0.5,0.5,0,1,1,0,0,1,1,61,1
62,38.61386139,100,0.5,0.5,0,1,1,0,0,1,1,62,1
63,37.62376238,100,0.5,0.5,0,1,1,0,0,1,1,63,1
64,36.63366337,100,0.5,0.5,0,1,1,0,0,1,1,64,1
65,35.64356436,100,0.5,0.5,0,1,1,0,0,1,1,65,1
66,34.65346535,100,0.5,0.5,0,1,1,0,0,1,1,66,1
67,33.66336634,100,0.5,0.5,0,1,1,0,0,1,1,67,1
68,32.67326733,100,0.5,0.5,0,1,1,0,0,1,1,68,1
69,31.68316832,100,0.5,0.5,0,1,1,0,0,1,1,69,1
70,30.69306931,100,0.5,0.5,0,1,1,0,0,1,1,70,1
71,29.7029703,100,0.5,0.5,0,1,1,0,0,1,1,71,1
72,28.71287129,100,0.5,0.5,0,1,1,0,0,1,1,72,1
73,27.72277228,100,0.5,0.5,0,1,1,0,0,1,1,73,1
74,26.73267327,100,0.5,0.5,0,1,1,0,0,1,1,74,1
75,25.74257426,100,0.5,0.5,0,1,1,0,0,1,1,75,1
76,24.75247525,100,0.5,0.5,0,1,1,0,0,1,1,76,1
77,23.76237624,100,0.5,0.5,0,1,1,0,0,1,1,77,1
78,22.77227723,100,0.5,0.5,0,1,1,0,0,1,1,78,1
79,21.78217822,100,0.5,0.5,0,1,1,0,0,1,1,79,1
80,20.79207921,100,0.5,0.5,0,1,1,0,0,1,1,80,1
81,19.8019802,100,0.5,0.5,0,1,1,0,0,1,1,81,1
82,18.81188119,100,0.5,0.5,0,1,1,0,0,1,1,82,1
83,17.82178218,100,0.5,0.5,0,1,1,0,0,1,1,83,1
84,16.83168317,100,0.5,0.5,0,1,1,0,0,1,1,84,1
85,15.84158416,100,0.5,0.5,0,1,1,0,0,1,1,85,1
86,14.85148515,100,0.5,0.5,0,1,1,0,0,1,1,86,1
87,13.86138614,100,0.5,0.5,0,1,1,0,0,1,1,87,1
88,12.87128713,100,0.5,0.5,0,1,1,0,0,1,1,88,1
89,11.88118812,100,0.5,0.5,0,1,1,0,0,1,1,89,1
90,10.89108911,100,0.5,0.5,0,1,1,0,0,1,1,90,1
91,9.900990099,100,0.5,0.5,0,1,1,0,0,1,1,91,1
92,8.910891089,100,0.5,0.5,0,1,1,0,0,1,1,92,1
93,7.920792079,100,0.5,0.5,0,1,1,0,0,1,1,93,1
94,6.930693069,100,0.5,0.5,0,1,1,0,0,1,1,94,1
95,5.940594059,100,0.5,0.5,0,1,1,0,0,1,1,95,1
96,4.95049505,100,0.5,0.5,0,1,1,0,0,1,1,96,1
